,RegionName,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
12,94109,4495,4450,4400,4350,4350,4350,4350,4450,4500,4375,4200,4325,4437.5,4475,4495,4500,4400,4400,4600,4750,4700,4600,4400,4299.5,4472.5,4395,4495,4497.5,4650,4700,4750,4750,4700
76,94501,2397.5,2450,2500,2500,2400,2497.5,2475,2500,2450,2400,2346.5,2500,2500,2391,2400,2484.5,2448,2469,2577,2660,2595,2650,2542.5,2500,2500,2466.5,2474,2543,2475,2494,2500,2508,2550
85,94110,3995,3950,4175,4000,3995,3995,4125,4100,4050,4200,4000,3995,4000,4200,4200,4195,4000,4200,4172.5,4100,4125,4295,4150,4397.5,4500,4500,4295,4275,4095,4300,4385,4500,4297.5
182,94536,2600,2551,2659.5,2701,2704.5,2690,2626.5,2646.5,2649,2621.5,2630.5,2652,2571.5,2557,2600,2679.5,2702,2755,2735,2771,2674.5,2600,2700,2692.5,2699.5,2750,2817,2784,2769.5,2786,2700,2700,2700
213,95123,2695,2810,2800,2802,2735,2773.5,2845,2794,2800,2742,2833.5,2746,2700,2709,2758.5,2721,2783.5,2800,2812,2809,2813.5,2817,2815,2849,2850,2927,2810,2890,2910,2996,2950,2899,2850
255,95051,2807.5,2955,2974,3080,2994,2995.5,2996,2925,2850,2891,2845,2795,2800,2845,2920,2800,2800,3060,3000,3032,2995,3000,2852.5,3000,3000,2912,3005,3080,3378.5,3112,3079,3162,3095
269,94568,2700,2800,2781,2800,2818,2850,2998,2995,3007.5,2924,2918,2918,2918,2930.5,2988,2978,2930,2950,2902,2844,2817,2787,2700,2730.5,2732,2746.5,2782,2800,2856,2894.5,2900,2882.5,2805
279,94509,1500,1500,1595,1592,1595,1685,1695,1650,1650,1695,1695,1695,1695,1695,1695,1800,1800,1800,1785,1750,1800,1800,1750,1800,1800,1930,1930,1825,1800,1850,1800,1850,1850
324,94538,2415,2373,2470,2497,2510,2536.5,2577,2557,2550,2500,2550,2571.5,2595,2547.5,2640,2736,2696,2713.5,2747,2739.5,2622,2580,2538,2521.5,2554,2600,2611.5,2748,2867,2797.5,2774.5,2756.5,2700
365,94587,2397.5,2325,2345,2350,2332.5,2350,2355.5,2345,2345,2300,2315,2377,2397.5,2350,2315,2467,2478.5,2490,2518,2622.5,2460,2423,2408,2380,2448,2484,2513,2504,2508,2508,2556,2607.5,2526.5
382,95014,3195,3200,3265,3174.5,3395,3400,3400,3359,3362.5,3266.5,3200,3200,3295,3309,3150,3271.5,3550,3472,3493,3344.5,3332,3251,3270.5,3358,3370.5,3465.5,3495,3495,3500,3495,3458,3550,3500
389,95112,2972,2816.5,2900,2900,2909,2923.5,2854,2807.5,2767,2859,2863.5,2915,2854,2913.5,2980,3085,3152.5,3015,3060,3027.5,2950,3000,3002.5,3022.5,2865,2850,2825,2895,3020,3025,3110,3185,2885
426,94087,2712,2808,2850,2900,3000,3041,3095,3000,2995,2900,2900,2849,2939,2795,2962,2908.5,2995,3180,3225,3204,3219,3109,2998.5,2995,3200,3193.5,3161,3195,3200,3338.5,3200,3176,3100
428,95125,2552,2504,2600,2597.5,2600,2595,2662,2645,2650,2605,2595,2645,2597.5,2531,2685,2610,2597.5,2649,2625.5,2890,3325,3200,3010,2850,2800,2745,2695,2695,2850,2850,2860,2695,2895
458,94806,2170,2170,2250,2327,2353.5,2320,2415,2328,2371,2500,2437.5,2403,2411,2364.5,2200,2175,2222,2283,2281,2279.5,2200,2180,2143,2185.5,2150,2198,2248,2299,2300,2237,2205,2174.5,2240
509,95008,2495,2497.5,2472,2397.5,2495,2545,2670,2697.5,2640,2500,2544,2647.5,2640,2718,2795,2645,2804.5,2821,2900,2930,2795,2800,2905,2949,2800,2850,2834.5,2900,2850,2980,3069.5,2942,2919
576,94115,4195,4200,4447,4374,4350,4292,4375.5,4526.5,4679.5,4500,4300,4286,4244,4395,4490,4564.5,4499.5,4195,4453,4508,4502,4455,4397.5,4200,4254,4472.5,4350,4271,4150,4244,4495,4528,4493
681,94117,3887.5,3750,3995,4200,4500,4495,4395,4400,4150,3995,3995,3850,3897.5,3947.5,3987.5,3995,4150,4450,4295,4250,4295,4200,4122.5,4147.5,4000,4000,3995,3995,3900,3995,4150,4200,4197
704,94102,4550,4567,4552.5,4580,4752.5,4675,4810,4997.5,5000,4800,4800,4550,4392.5,4505,4542.5,4550,4800,5100,5100,4847.5,5195,4800,4811,4861,4795,4550,4962.5,5098.5,5387.5,5240,5098.5,4960,5110
717,94121,3700,3597.5,3650,3500,3495,3495,3700,3800,3485,3497.5,3400,3537.5,3537.5,3695,3600,3625,3495,3500,3500,3600,3500,3400,3300,3500,3597.5,3550,3695,3500,3537.5,3495,3465,3500,3450
