Name,Parent,Level,Location,Status,CIK
BERKSHIRE HATHAWAY INC,None,0,Delaware,"(4, 'Non-US Company')",
ACME BRICK CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
ACME BUILDING BRANDS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
ALBECCA INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(0, 'Success')",1061777
ALTALINK HOLDINGS LP,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
ALTALINK INVESTMENTS LP,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
ALTALINK LP,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
APPLIED UNDERWRITERS CAPTIVE RISK ASSURANCE CO INC,BERKSHIRE HATHAWAY INC,1,Iowa,"(1, 'Company is not in SEC/Name Misspelled')",
APPLIED UNDERWRITERS INC,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
BEN BRIDGE CORP,BERKSHIRE HATHAWAY INC,1,Washington,"(1, 'Company is not in SEC/Name Misspelled')",
BEN BRIDGE JEWELER INC,BERKSHIRE HATHAWAY INC,1,Washington,"(1, 'Company is not in SEC/Name Misspelled')",
BENJAMIN MOORE  CO,BERKSHIRE HATHAWAY INC,1,New Jersey,"(2, 'Multiple search results found')",
BENJAMIN MOORE & CO LIMITED,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
BENSON INDUSTRIES INC,BERKSHIRE HATHAWAY INC,1,Oregon,"(1, 'Company is not in SEC/Name Misspelled')",
BERKSHIRE HATHAWAY ASSURANCE CORP,BERKSHIRE HATHAWAY INC,1,New York,"(1, 'Company is not in SEC/Name Misspelled')",
BERKSHIRE HATHAWAY AUTOMOTIVE INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
BERKSHIRE HATHAWAY CREDIT CORP,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
BERKSHIRE HATHAWAY ENERGY CO,BERKSHIRE HATHAWAY INC,1,Iowa,"(0, 'Success')",1081316
