,sic_code,industry_name,sic_sector,sector_name,sector_group,sector_group_name
0,100,Agricultural production-crops,100,Agricultural production- crops,1," Agriculture, forestry, and fishing"
1,200,Agricultural prod-livestock & animal specialties,200,Agricultural production- livestock,1," Agriculture, forestry, and fishing"
2,700,Agricultural services,700,Agricultural services,1," Agriculture, forestry, and fishing"
3,800,Forestry,800,Forestry,1," Agriculture, forestry, and fishing"
4,900,"Fishing, hunting and trapping",900,"Fishing, hunting, and trapping",1," Agriculture, forestry, and fishing"
5,1000,Metal mining,1000,Metal mining,2,Mining
6,1040,Gold and silver ores,1000,Metal mining,2,Mining
7,1090,Miscellaneous metal ores,1000,Metal mining,2,Mining
8,1220,Bituminous coal & lignite mining,1200,Coal mining,2,Mining
9,1221,Bituminous coal & lignite surface mining,1200,Coal mining,2,Mining
10,1311,Crude petroleum & natural gas,1300,Oil and gas extraction,2,Mining
11,1381,Drilling oil & gas wells,1300,Oil and gas extraction,2,Mining
12,1382,Oil & gas field exploration services,1300,Oil and gas extraction,2,Mining
13,1389,"Oil & gas field services, nec",1300,Oil and gas extraction,2,Mining
14,1400,Mining & quarrying of nonmetallic minerals (no fuels),1400,"Nonmetallic minerals, except fuels",2,Mining
15,1520,General bldg contractors - residential bldgs,1500,General building contractors,3,Construction
16,1531,Operative builders,1500,General building contractors,3,Construction
17,1540,General bldg contractors - nonresidential bldgs,1500,General building contractors,3,Construction
18,1600,Heavy construction other than bldg const - contractors,1600,Heavy construction contractors,3,Construction
19,1623,"Water, sewer, pipeline, comm & power line construction",1600,Heavy construction contractors,3,Construction
20,1700,Construction - special trade contractors,1700,Special trade contractors,3,Construction
21,1731,Electrical work,1700,Special trade contractors,3,Construction
22,2000,Food and kindred products,2000,Food and kindred products,4,Manufacturing
23,2011,Meat packing plants,2000,Food and kindred products,4,Manufacturing
24,2013,Sausages & other prepared meat products,2000,Food and kindred products,4,Manufacturing
25,2015,Poultry slaughtering and processing,2000,Food and kindred products,4,Manufacturing
26,2020,Dairy products,2000,Food and kindred products,4,Manufacturing
27,2024,Ice cream & frozen desserts,2000,Food and kindred products,4,Manufacturing
28,2030,"Canned, frozen & preservd fruit, veg & food specialties",2000,Food and kindred products,4,Manufacturing
29,2033,"Canned, fruits, veg, preserves, jams & jellies",2000,Food and kindred products,4,Manufacturing
30,2040,Grain mill products,2000,Food and kindred products,4,Manufacturing
31,2050,Bakery products,2000,Food and kindred products,4,Manufacturing
32,2052,Cookies & crackers,2000,Food and kindred products,4,Manufacturing
33,2060,Sugar & confectionery products,2000,Food and kindred products,4,Manufacturing
34,2070,Fats & oils,2000,Food and kindred products,4,Manufacturing
35,2080,Beverages,2000,Food and kindred products,4,Manufacturing
36,2082,Malt beverages,2000,Food and kindred products,4,Manufacturing
37,2086,Bottled & canned soft drinks & carbonated waters,2000,Food and kindred products,4,Manufacturing
38,2090,Miscellaneous food preparations & kindred products,2000,Food and kindred products,4,Manufacturing
39,2092,Prepared fresh or frozen fish & seafoods,2000,Food and kindred products,4,Manufacturing
40,2100,Tobacco products,2100,Tobacco manufactures,4,Manufacturing
41,2111,Cigarettes,2100,Tobacco manufactures,4,Manufacturing
42,2200,Textile mill products,2200,Textile mill products,4,Manufacturing
43,2211,"Broadwoven fabric mills, cotton",2200,Textile mill products,4,Manufacturing
44,2221,"Broadwoven fabric mills, man made fiber & silk",2200,Textile mill products,4,Manufacturing
45,2250,Knitting mills,2200,Textile mill products,4,Manufacturing
46,2253,Knit outerwear mills,2200,Textile mill products,4,Manufacturing
47,2273,Carpets & rugs,2200,Textile mill products,4,Manufacturing
48,2300,Apparel & other finishd prods of fabrics & similar matl,2300,Apparel and other textile products,4,Manufacturing
49,2320,"Men's & boys' furnishgs, work clothg, & allied garments",2300,Apparel and other textile products,4,Manufacturing
50,2330,"Women's, misses', and juniors outerwear",2300,Apparel and other textile products,4,Manufacturing
51,2340,"Women's, misses', children's & infants' undergarments",2300,Apparel and other textile products,4,Manufacturing
52,2390,Miscellaneous fabricated textile products,2300,Apparel and other textile products,4,Manufacturing
53,2400,Lumber & wood products (no furniture),2400,Lumber and wood products,4,Manufacturing
54,2421,"Sawmills & planting mills, general",2400,Lumber and wood products,4,Manufacturing
55,2430,"Millwood, veneer, plywood, & structural wood members",2400,Lumber and wood products,4,Manufacturing
56,2451,Mobile homes,2400,Lumber and wood products,4,Manufacturing
57,2452,Prefabricated wood bldgs & components,2400,Lumber and wood products,4,Manufacturing
58,2510,Household furniture,2500,Furniture and fixtures,4,Manufacturing
59,2511,"Wood household furniture, (no upholstered)",2500,Furniture and fixtures,4,Manufacturing
60,2520,Office furniture,2500,Furniture and fixtures,4,Manufacturing
61,2522,Office furniture (no wood),2500,Furniture and fixtures,4,Manufacturing
62,2531,Public bldg & related furniture,2500,Furniture and fixtures,4,Manufacturing
63,2540,"Partitions, shelvg, lockers, & office & store fixtures",2500,Furniture and fixtures,4,Manufacturing
64,2590,Miscellaneous furniture & fixtures,2500,Furniture and fixtures,4,Manufacturing
65,2600,Papers & allied products,2600,Paper and allied products,4,Manufacturing
66,2611,Pulp mills,2600,Paper and allied products,4,Manufacturing
67,2621,Paper mills,2600,Paper and allied products,4,Manufacturing
68,2631,Paperboard mills,2600,Paper and allied products,4,Manufacturing
69,2650,Paperboard containers & boxes,2600,Paper and allied products,4,Manufacturing
70,2670,Converted paper & paperboard prods (no contaners/boxes),2600,Paper and allied products,4,Manufacturing
71,2673,"Plastics, foil & coated paper bags",2600,Paper and allied products,4,Manufacturing
72,2711,Newspapers: publishing or publishing & printing,2700,Printing and publishing,4,Manufacturing
73,2721,Periodicals: publishing or publishing & printing,2700,Printing and publishing,4,Manufacturing
74,2731,Books: publishing or publishing & printing,2700,Printing and publishing,4,Manufacturing
75,2732,Book printing,2700,Printing and publishing,4,Manufacturing
76,2741,Miscellaneous publishing,2700,Printing and publishing,4,Manufacturing
77,2750,Commercial printing,2700,Printing and publishing,4,Manufacturing
78,2761,Manifold business forms,2700,Printing and publishing,4,Manufacturing
79,2771,Greeting cards,2700,Printing and publishing,4,Manufacturing
80,2780,"Blankbooks, looseleaf binders & bookbindg & relatd work",2700,Printing and publishing,4,Manufacturing
81,2790,Service industries for the printing trade,2700,Printing and publishing,4,Manufacturing
82,2800,Chemicals & allied products,2800,Chemicals and allied products,4,Manufacturing
83,2810,Industrial inorganic chemicals,2800,Chemicals and allied products,4,Manufacturing
84,2820,"Plastic material, synth resin/rubber, cellulos (no glass)",2800,Chemicals and allied products,4,Manufacturing
85,2821,"Plastic materials, synth resins & nonvulcan elastomers",2800,Chemicals and allied products,4,Manufacturing
86,2833,Medicinal chemicals & botanical products,2800,Chemicals and allied products,4,Manufacturing
87,2834,Pharmaceutical preparations,2800,Chemicals and allied products,4,Manufacturing
88,2835,In vitro & in vivo diagnostic substances,2800,Chemicals and allied products,4,Manufacturing
89,2836,"Biological products, (no disgnostic substances)",2800,Chemicals and allied products,4,Manufacturing
90,2840,"Soap, detergents, cleang preparations, perfumes, cosmetics",2800,Chemicals and allied products,4,Manufacturing
91,2842,"Specialty cleaning, polishing and sanitation preparations",2800,Chemicals and allied products,4,Manufacturing
92,2844,"Perfumes, cosmetics & other toilet preparations",2800,Chemicals and allied products,4,Manufacturing
93,2851,"Paints, varnishes, lacquers, enamels & allied prods",2800,Chemicals and allied products,4,Manufacturing
94,2860,Industrial organic chemicals,2800,Chemicals and allied products,4,Manufacturing
95,2870,Agricultural chemicals,2800,Chemicals and allied products,4,Manufacturing
96,2890,Miscellaneous chemical products,2800,Chemicals and allied products,4,Manufacturing
97,2891,Adhesives & sealants,2800,Chemicals and allied products,4,Manufacturing
98,2911,Petroleum refining,2900,Petroleum and coal products,4,Manufacturing
99,2950,Asphalt paving & roofing materials,2900,Petroleum and coal products,4,Manufacturing
100,2990,Miscellaneous products of petroleum & coal,2900,Petroleum and coal products,4,Manufacturing
101,3011,Tires & inner tubes,3000,Rubber and miscellaneous plastics products,4,Manufacturing
102,3021,Rubber & plastics footwear,3000,Rubber and miscellaneous plastics products,4,Manufacturing
103,3050,"Gaskets, packg & sealg devices & rubber & plastics hose",3000,Rubber and miscellaneous plastics products,4,Manufacturing
104,3060,"Fabricated rubber products, nec",3000,Rubber and miscellaneous plastics products,4,Manufacturing
105,3080,Miscellaneous plastics products,3000,Rubber and miscellaneous plastics products,4,Manufacturing
106,3081,Unsupported plastics film & sheet,3000,Rubber and miscellaneous plastics products,4,Manufacturing
107,3086,Plastics foam products,3000,Rubber and miscellaneous plastics products,4,Manufacturing
108,3089,"Plastics products, nec",3000,Rubber and miscellaneous plastics products,4,Manufacturing
109,3100,Leather & leather products,3100,Leather and leather products,4,Manufacturing
110,3140,"Footwear, (no rubber)",3100,Leather and leather products,4,Manufacturing
